,ds,yhat_lower,yhat_upper,yhat
394,2022-01-30,11850721.199444406,11851840.385928342,11851304.050018258
395,2022-01-31,11880776.178787673,11881856.862191366,11881304.000811493
396,2022-02-01,11910703.016679728,11911865.718543753,11911296.918102525
397,2022-02-02,11940796.601850502,11941925.465730539,11941351.943488128
398,2022-02-03,11970836.50643959,11971944.293890448,11971366.995453296
399,2022-02-04,12000825.898386708,12001985.871136429,12001414.226567935
400,2022-02-05,12030909.059054555,12031957.301154738,12031447.047517437
401,2022-02-06,12060911.235751847,12061996.836773576,12061464.082400156
402,2022-02-07,12090925.600859966,12092019.532314701,12091487.85593549
403,2022-02-08,12120966.437123505,12122082.07020294,12121504.472338596
404,2022-02-09,12150986.523948163,12152117.219909454,12151559.944405768
405,2022-02-10,12181025.647071494,12182199.587821413,12181574.738909878
406,2022-02-11,12211066.49862432,12212188.27808385,12211622.277478484
407,2022-02-12,12241094.53279642,12242244.405273117,12241655.152579164
408,2022-02-13,12271110.364855219,12272248.23118476,12271671.966222951
409,2022-02-14,12301132.031461969,12302279.989983328,12301695.636768214
410,2022-02-15,12331126.042365802,12332331.793507406,12331712.026574668
411,2022-02-16,12361207.565746738,12362334.453769578,12361767.94532341
